"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","attn","commit","Q111_1","Q111_2","Q111_3","Q111_4","Q113_1","Q113_2","Q113_3","Q113_4","Q115_1","Q115_2","Q115_3","Q115_4","Q84","Q86","Q88","Q90","Q88.1","Q89","Q90.1","Q91","Q93","Q94","Q95","Q96","police_att","police_impt","assault_att","assault_impt","gender","gender_4_TEXT","age","political","condition","topic","statement_attitude","FL_6_DO","FL_81_DO","FL_46_DO","FL_86_DO","text","textID","agree1_disagree0","seedtext","text_wdct","sentiment","followed","own_attitude","text_agree","receptive","issue","issue_pos","issue_agree","issue_extrem","write.time"
"2019-04-10 13:55:46","2019-04-10 13:59:46",0,"205.158.44.182",100,240,1,"2019-04-10 13:59:47","R_3jULTOx4dES4KkX",NA,NA,NA,NA,42.3119964599609,-71.1081008911133,"anonymous","EN",21,"I will answer each question with at least three full sentences",1,1,2,1,1,1,2,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,1,"-99",30,3,"manipulated","police",0,"FL_60","FL_82","Police_Disagree_Statement_4(dataset_id3/p_id25/session1)","","I tend to agree with this person where its almost as if its beyond just color but economics and who tends to live in areas that are overly policed or where police ""fear for their lives"" when they are policing and they always feel like they are threatened as well as there are those that are on a power trip also.","blmAnti4",0,"I disagree with this statement for a few reasons. The public reaction has had the benefit of forcing the issues of police misconduct which generations of Americans have experienced with no justice or protection to the forefront of public policy in the country.  Without public pressure and a serious acknowedgement of unqeual protection under the law , these crimes against minority communities would continue to be swept under the rug. Also, if the situations were not broadcast in everyone's living rooms, the general majority public who many times have no experience with these injustices, nor knowlege of how  injustice anywhere is a threat to justice everywhere will feel like they dont have a vested interest in developing solutions to the core issues that cause crime (i.e. lack of economic development, race, community distrust etc). If the instances of police brutality and incarceration were being perpetuated on the majority class there would be no end to the public confrontation.",61,1,1,0,1,1,"blm",2,0,2,139.361
"2019-04-10 13:56:05","2019-04-10 14:01:03",0,"24.152.214.144",100,298,1,"2019-04-10 14:01:04","R_1owfmWYbakyv9CP",NA,NA,NA,NA,41.2207946777344,-75.7735977172852,"anonymous","EN",21,"I will answer each questions with at least three full sentences",1,1,1,2,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,"-99",30,5,"manipulated","sexual_assault",0,"FL_60","FL_83","","SexualAssault_Disagree_Statement_1(part_id=157)","I think it is right to not assume guilt based on this. However, with such a strong case as sexual assault action is needed immediately. While the accused should not be kicked out of school maybe having the student go to office hours to meet with professors outside of normal times would be better until the investigation is completed.","saAnti1",0,"The process includes a thorough investigation before any kind of restraint or arrest of a person. This society's legal process has a basic tenet of innocent until [proven guilty. The college must treat everyone fairly and react strongly only when there is good cause to do so. To immediately act is to assume the accusation is true. The accuser could have a grudge against the accused and just made it up or maybe a past wrong by the accused against wasn't righted and the accuser did it out of spite. We need to be logical, not driven by emotions, gather evidence and listen to all sides, then decide on a course of action.",59,1,1,0,1,1,"sa",2,0,2,133.193
"2019-04-10 13:56:03","2019-04-10 14:01:17",0,"98.176.102.40",100,313,1,"2019-04-10 14:01:18","R_3pnJpC9Ynfb4qrH",NA,NA,NA,NA,33.1977996826172,-117.248199462891,"anonymous","EN",21,"I will answer each question with at least three full sentences",1,1,1,2,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,1,"-99",34,1,"manipulated","police",1,"FL_60","FL_82","Police_Agree_Statement_2(dataset_id63/p_id44/session2)","","well that's an interesting opinion you have of police violence against minorities. thank you for taking the time to explain it. i think your point of view is unique and i appreciated reading what you wrote, despite the fact that it is completely wrong","blmPro2",1,"Yes it has been overblown.  The media has portrayed these incidents to be much more common than they actually are, which has fueled the public reaction to be greater than necessary.  The public reaction has largely overlooked the fact that the majority of these incidents have been started with a suspect resisting a lawful arrest.  It has focused almost exclusively on the officer's actions and ignored the fact that nothing detrimental would have occurred had the suspect complied with the officer's orders.  There has also been rioting and destruction by some in the public that has not accomplished anything positive.  Another overreaction is in the public's call for an immediate termination or filing of criminal charges against an officer when there has not been adequate time to conduct a thorough investigation of the officer's actions.",45,3,1,0,0,1,"blm",1,0,3,143.686
"2019-04-10 13:55:47","2019-04-10 14:01:28",0,"107.77.204.68",100,341,1,"2019-04-10 14:01:29","R_DjxwSwCNy0iTnYl",NA,NA,NA,NA,39.0157012939453,-77.0084991455078,"anonymous","EN",21,"I will answer each question with at least three full sentences",2,2,2,1,2,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,2,"-99",28,4,"manipulated","police",1,"FL_60","FL_82","Police_Agree_Statement_5(dataset_id21/p_id31/session1)","","It seems that the minority is making this a bigger issue than it is. The police are trying to do their jobs and people of crime just seem to be the minority. The media is just publishing the story like they always would.","blmPro5",1,"While there have been some outright excessive force issues, some unfortunately resulting in the death of minorities at the hands of police, I feel that social media has contributed to the problem by repeatedly replaying these incidents while doing nothing to improve dialogue and truly analyze the data on police use of excessive force against minorities.",43,-1,1,1,1,1,"blm",6,1,2,133.664
"2019-04-10 13:55:50","2019-04-10 14:01:29",0,"70.60.202.70",100,338,1,"2019-04-10 14:01:30","R_12zOccPpj0zf6Bc",NA,NA,NA,NA,35.3119964599609,-81.5568008422852,"anonymous","EN",21,"I will answer each question with at least three full sentences. ",1,1,1,2,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,"-99",40,3,"manipulated","sexual_assault",1,"FL_60","FL_83","","SexualAssault_Agree_Statement_3(part_id=344)","I agree with you but I have never understood why they do not just let the police arrest the person and treat them the same way as a non student.  They are innocent until proven guilty and should not be removed from campus until they are.  It just does not make sense to me why college students are treated differently then normal people when it comes to crimes, especailly sex crimes. ","saPro3",1,"The reason why I think they should immediately be removed from campus to protect the victim's well being is because statistics back up that false sexual assault reports rarely exist. It is much more easy to just believe the victim instead of the alleged abuser. This is important because we want the victim to feel safe while they are trying to recover and continue on with their education. If you don't do this it'll send a message that you're okay with it. That's not what we should do.",71,0,1,0,0,1,"sa",2,0,2,159.634
"2019-04-10 13:58:20","2019-04-10 14:01:33",0,"204.148.98.54",100,193,1,"2019-04-10 14:01:34","R_2R2iq5kj4B7UnWG",NA,NA,NA,NA,37.9848937988281,-84.4815979003906,"anonymous","EN",21,"I will answer each question with at least three full sentences",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,3,1,2,2,2,NA,2,3,NA,7,4,NA,NA,1,"-99",27,3,"not_manipulated","police",1,"FL_61","FL_82","Police_Agree_Statement_4(datset_id54/p_id60/session2)","","I don't like this person. They are annoying. Police are wack","blmPro4",1,"I believe that the media serves as one of the number one factors in why the confrontations are overblown. 10 years ago we did not have social media. Every incident that happened couldn't be recorded and posted to the internet immediately. I believe that we had the same types of issues going on the public just didn't have as much instant access to the information and to see videos of the actual footage. Everyone walks around with a cell phone with a camera attached to them. They can video anything and people do. Events are on social media within seconds of when they occur. Police have to defend their actions much more today because of the sensitivity from social media.",12,-1,1,1,1,0,"blm",7,1,3,131.293
"2019-04-10 13:55:51","2019-04-10 14:01:49",0,"208.126.209.115",100,358,1,"2019-04-10 14:01:50","R_pPYw8xt3IKXdqJb",NA,NA,NA,NA,42.3094940185547,-95.2500991821289,"anonymous","EN",21,"I will answer each question with at least three full sentences",1,1,1,2,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,"-99",36,1,"manipulated","sexual_assault",1,"FL_60","FL_83","","SexualAssault_Agree_Statement_5(part_id=300)","I understand your viewpoint here, but I have to disagree. Accused individuals are innocent until proven guilty, that is the law, and this is an important concept to protect. I do not think someone should have their life disrupted because they have been accused of a crime, especially as it is entirely possible this person is innocent. It is a good goal to protect victims, but removing the accused from campus entirely based on nothing more than accusation is unacceptable.","saPro5",1,"The alleged perpetrator should be immediately removed from campus, though not necessarily immediately expelled without due process.  The removal is for the mental and physical safety of the victim, which is the most important thing.  It shows that the school supports the victim and that sexual violence will not be tolerated.  At that point, the school and police authorities can begin their investigation, but the victim can feel safer that he or she won't run into that person in class or in other school buildings.  The vast, vast majority of alleged victims are telling the truth.  There are always exceptions, but these are few and far between.  We must believe victims and must assume that they are telling the truth, so immediate removal of the accused is certainly necessary, for the safety of the accuser as well as other women on campus.  If an investigation concludes that the assault did not happen, the appropriate corrections can be made at that time.  But it is important to err on the side of caution and protecting victims. ",80,0,1,0,0,1,"sa",2,0,2,125.94
"2019-04-10 13:56:47","2019-04-10 14:01:58",0,"207.108.136.51",100,310,1,"2019-04-10 14:01:58","R_2fxKQ6gMgCobHtx",NA,NA,NA,NA,33.4683074951172,-112.054901123047,"anonymous","EN",21,"I will answer each question with at least three full sentences.",1,1,1,2,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,1,"-99",25,2,"manipulated","police",1,"FL_60","FL_82","Police_Agree_Statement_3(dataset_id73/p_id37/session3)","","If even one ""accidental"" death happens, it is far too many. It's not even a matter of race, police should not be so trigger happy. Police should not be murdering people for committing crimes, unless they pose a significant threat to other lives or the officer in question's life.","blmPro3",1,"I completely agree with this statement.  There is an estimated 400,000 police contacts each day with people in the United States.  The narrative you see in the media and pushed by certain groups would make you think that a large number of these contacts are adversarial up to include a high number of violence from the police towards the public.  This is simply not true.  Think about how many times you have seen officers acting inappropriately on the news.  Compare that to 400,000 each day.  The numbers just dont support this narrative.  Like in any profession you have some police officers that should not be police officers and sometimes they act like criminals.",51,-1,1,0,0,1,"blm",2,0,2,220.414
"2019-04-10 13:56:21","2019-04-10 14:02:11",0,"73.121.40.216",100,350,1,"2019-04-10 14:02:12","R_72m7KwfeRRttG4V",NA,NA,NA,NA,36.2454986572266,-82.8237991333008,"anonymous","EN",21,"I will answer each question with at least three full sentences",1,1,1,2,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,1,"-99",25,4,"manipulated","police",0,"FL_60","FL_82","Police_Disagree_Statement_1(dataset_id122/p_id29/session4)","","I agree with this person. We live in a time where everything gets put out there for the world to see. It is good that social media can help bring awareness to such an important issue. Hopefully something can be done to improve peoples experiences with police officers.","blmAnti1",0,"The public reaction has not been overblown, if anything it is severely muted.  Recent confrontations are simply making visible issues that have existed for a very long time. Lynchings and killings of minorities have happened throughout American history. However, now we have proof in real time through cell phone videos and Facebook Live. There are real issues between police and the communities they serve that are only being addressed because of the attention being paid through Black Lives Matter and other protests. This is how things improve, even if it is hard and difficult to discuss.",48,2,1,0,1,1,"blm",3,0,1,138.281
"2019-04-10 13:55:37","2019-04-10 14:02:20",0,"24.56.18.8",100,402,1,"2019-04-10 14:02:21","R_1Oqs1CPzRSkFTsH",NA,NA,NA,NA,33.6613006591797,-112.03980255127,"anonymous","EN",21,"""I will answer each question with at least three full sentences""",1,1,1,2,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,"-99",34,4,"manipulated","sexual_assault",0,"FL_60","FL_83","","SexualAssault_Disagree_Statement_3(part_id=72)","This is a very tough subject, and i understand what your are saying. One if there is video evidence then it makes more sense to kick them off campus. And yes just kicking people off campus would start to send a message  and what would be next. if you dont like someone just have them kicked off campus.","saAnti3",0,"Having someone immediately removed from a campus just because someone made an accusation against them is a little ridiculous. This type of precedent sets up mainly male students but could also set up female students as well to be in a position where they are in constant fear. This fear would come from knowing that if they say the wrong thing or act the wrong way they could be taken off campus without proof. Now if there is immediate proof then I completely agree that they should be kicked out, however without a good amount of evidence to prove something happened then I think kicking the students off campus should wait.",58,2,1,0,1,1,"sa",2,0,2,208.467
