"ResponseId","targetID","ownRating","age","gender","issue","issue_pos","StartDate","EndDate","political","policing_att","assault_att","target","otherRating"
"R_09aBgHur5wSB4T7","R_10p9Fil9W58VJsa",5,25,2,"sa",7,"2019-05-09 09:10:15","2019-05-09 09:27:52",6,2,7,1,4.40740740740741
"R_09aBgHur5wSB4T7","R_1dvqBeht7KbiXwN",3.22222222222222,25,2,"sa",7,"2019-05-09 09:10:15","2019-05-09 09:27:52",6,2,7,2,3.33333333333333
"R_0Gjht6fAHTgzqWB","R_1gjuIcU9InWMniK",3.83333333333333,31,2,"sa",2,"2019-05-10 13:19:30","2019-05-10 13:33:00",3,1,2,1,4.83333333333333
"R_0Gjht6fAHTgzqWB","R_3lVTOKHO4mDefWu",4.22222222222222,31,2,"sa",2,"2019-05-10 13:19:30","2019-05-10 13:33:00",3,1,2,2,2.97222222222222
"R_0JwW9MbpifjqiiZ","R_3qQDYT5dFC1XiN6",3.72222222222222,23,1,"blm",3,"2019-05-09 09:58:09","2019-05-09 10:03:41",2,3,3,1,5.40740740740741
"R_0JwW9MbpifjqiiZ","R_40Z1ljr87CeEQgh",3.94444444444444,23,1,"blm",3,"2019-05-09 09:58:09","2019-05-09 10:03:41",2,3,3,2,3.78703703703704
"R_0krMR05Xmuv2mJ3","R_26m6scJnSUY4NLX",3.38888888888889,29,1,"blm",5,"2019-05-09 08:15:03","2019-05-09 08:20:27",2,5,6,1,4.07407407407407
"R_0krMR05Xmuv2mJ3","R_2VKHgq9uRiPsYrT",3.44444444444444,29,1,"blm",5,"2019-05-09 08:15:03","2019-05-09 08:20:27",2,5,6,2,5.08333333333333
"R_0kzJWqK54V2UqxX","R_2VQREYsuQCgTFbP",4.44444444444444,29,2,"blm",1,"2019-05-10 13:32:01","2019-05-10 13:41:58",3,1,7,1,5.17592592592593
"R_0kzJWqK54V2UqxX","R_54piCXdlRqAR7K9",3,29,2,"blm",1,"2019-05-10 13:32:01","2019-05-10 13:41:58",3,1,7,2,5.52222222222222
"R_0MLqTUgNRjmZNEl","R_2QsL6tLqiJ0DQ0d",5.61111111111111,42,2,"sa",3,"2019-05-09 11:13:27","2019-05-09 11:23:16",2,6,3,1,6.05555555555556
"R_0MLqTUgNRjmZNEl","R_Rqn08oVtwB45etH",5.27777777777778,42,2,"sa",3,"2019-05-09 11:13:27","2019-05-09 11:23:16",2,6,3,2,4.7962962962963
"R_0NvPVNdqZwSIdNf","R_3fNzuSPfCfgSGVb",3.83333333333333,22,2,"blm",5,"2019-05-09 10:04:31","2019-05-09 10:09:57",3,5,6,1,3.55555555555556
"R_0NvPVNdqZwSIdNf","R_3HLWGTkkTu1Ndw1",4,22,2,"blm",5,"2019-05-09 10:04:31","2019-05-09 10:09:57",3,5,6,2,5.58333333333333
"R_0TU6B06eegLZOtb","R_8BxxBrxv3sTa1TH",6.44444444444444,25,2,"sa",7,"2019-05-09 08:41:02","2019-05-09 08:47:32",1,1,7,1,5.9
"R_0TU6B06eegLZOtb","R_Abq0J6aZ0t8Tyhj",3.11111111111111,25,2,"sa",7,"2019-05-09 08:41:02","2019-05-09 08:47:32",1,1,7,2,4.14444444444444
"R_0UJxMcHRrkytgSl","R_0c5U50lYF4JTfq1",5.05555555555556,27,2,"blm",2,"2019-05-09 10:08:25","2019-05-09 10:20:07",2,2,6,1,5.75
"R_0UJxMcHRrkytgSl","R_25uUSsfnfEDBk6w",3,27,2,"blm",2,"2019-05-09 10:08:25","2019-05-09 10:20:07",2,2,6,2,4.64444444444444
"R_0v9j60Eb7u70BVf","R_10Hj4YCdfifY1Ho",2.5,41,2,"sa",5,"2019-05-10 13:12:16","2019-05-10 13:23:14",2,2,5,1,3.41666666666667
"R_0v9j60Eb7u70BVf","R_Ybu8xBrkpGOixX3",4.88888888888889,41,2,"sa",5,"2019-05-10 13:12:16","2019-05-10 13:23:14",2,2,5,2,4.63888888888889
"R_10A6W6upTlRTC8E","R_1Pb28tEoUCoJ0ur",6.77777777777778,32,2,"blm",3,"2019-05-10 16:29:09","2019-05-10 16:38:33",3,3,7,1,5.73148148148148
"R_10A6W6upTlRTC8E","R_22s4wjOt4ZnhZmq",3.38888888888889,32,2,"blm",3,"2019-05-10 16:29:09","2019-05-10 16:38:33",3,3,7,2,4.62037037037037
"R_10DvpHqNEdiqnWv","R_3KMJGGKXiPKnbMa",4.77777777777778,36,2,"blm",5,"2019-05-09 08:48:06","2019-05-09 08:58:27",3,5,2,1,3.22222222222222
"R_10DvpHqNEdiqnWv","R_3qxMDd96HFZ0QQ8",6.72222222222222,36,2,"blm",5,"2019-05-09 08:48:06","2019-05-09 08:58:27",3,5,2,2,4.80555555555556
"R_10HMicBkFVm4h36","R_1Pb28tEoUCoJ0ur",6.88888888888889,38,2,"blm",1,"2019-05-09 09:45:35","2019-05-09 09:55:50",1,1,6,1,5.71296296296296
"R_10HMicBkFVm4h36","R_31nNYKJAes6tZWK",5.83333333333333,38,2,"blm",1,"2019-05-09 09:45:35","2019-05-09 09:55:50",1,1,6,2,5.2037037037037
"R_10HQQYloz98d08M","R_1hFRB4BqJdWEV70",5.94444444444444,27,2,"sa",7,"2019-05-10 13:15:31","2019-05-10 13:24:54",1,1,7,1,4.74074074074074
"R_10HQQYloz98d08M","R_1QLwC7l9FWOiotw",5.27777777777778,27,2,"sa",7,"2019-05-10 13:15:31","2019-05-10 13:24:54",1,1,7,2,4.55555555555556
